influence_category,pixel_count,total_population,mean_influence_score,mean_distance_m
Low,3062,37459.02,7.617131,796.4965224047517
Medium,3062,28975.25,18.406563,589.6106185291193
High,3155,17453.906,85.201195,458.47573995391
