risk_category,pixel_count,total_population,mean_risk_score,mean_distance_m
Low,3970,44305.41,2.6533804,971.1938733997988
Medium,3970,44354.742,10.608898,576.7686772702764
High,4091,20512.943,868.0745,440.627556705721
